sample,cluster,methylation_class
SAMPLE 556,13,"MB, SHH CHL AD"
SAMPLE 557,13,"MB, SHH CHL AD"
SAMPLE 558,13,"MB, G3"
SAMPLE 559,13,"MB, G4"
SAMPLE 560,13,"MB, G4"
SAMPLE 561,13,"MB, SHH CHL AD"
SAMPLE 562,1,"MB, SHH CHL AD"
SAMPLE 563,13,"MB, SHH CHL AD"
SAMPLE 564,13,"MB, G4"
SAMPLE 565,13,"MB, SHH CHL AD"
SAMPLE 566,13,"MB, SHH CHL AD"
SAMPLE 567,13,"MB, SHH CHL AD"
SAMPLE 568,4,"LGG, PA MID"
SAMPLE 569,4,"LGG, PA MID"
SAMPLE 570,4,"LGG, PA MID"
SAMPLE 571,9,ETMR
SAMPLE 572,7,"GBM, G34"
SAMPLE 573,13,"MB, SHH CHL AD"
SAMPLE 574,13,"MB, SHH CHL AD"
SAMPLE 575,13,"MB, SHH CHL AD"
SAMPLE 576,13,"MB, SHH CHL AD"
SAMPLE 577,13,"MB, G3"
SAMPLE 578,13,"MB, G4"
SAMPLE 579,13,"MB, WNT"
SAMPLE 580,13,"MB, G3"
SAMPLE 581,1,"MB, SHH INF"
SAMPLE 582,13,"MB, G4"
SAMPLE 583,13,"MB, G3"
SAMPLE 584,13,"MB, SHH CHL AD"
SAMPLE 585,13,"MB, G4"
SAMPLE 586,13,"MB, G3"
SAMPLE 587,1,"MB, SHH INF"
SAMPLE 588,13,"MB, G4"
SAMPLE 589,4,"LGG, PA PF"
SAMPLE 590,4,"LGG, PA PF"
SAMPLE 591,4,"LGG, PA PF"
SAMPLE 592,4,"LGG, PA PF"
SAMPLE 593,4,"LGG, PA PF"
SAMPLE 594,4,"LGG, PA PF"
SAMPLE 595,4,"LGG, PA MID"
SAMPLE 596,4,"LGG, PA PF"
SAMPLE 597,4,"LGG, PA PF"
SAMPLE 598,4,"LGG, PA MID"
SAMPLE 599,4,"LGG, PA PF"
SAMPLE 600,4,"LGG, PA MID"
SAMPLE 601,4,"LGG, PA PF"
SAMPLE 602,4,"CONTR, REACT"
SAMPLE 603,4,"LGG, PA PF"
SAMPLE 604,4,"LGG, PA PF"
SAMPLE 605,4,"LGG, PA PF"
SAMPLE 606,4,"LGG, PA PF"
SAMPLE 607,4,"LGG, PA MID"
SAMPLE 608,4,"LGG, PA PF"
SAMPLE 609,5,"EFT, CIC"
SAMPLE 610,2,"ATRT, MYC"
SAMPLE 611,13,"MB, SHH CHL AD"
SAMPLE 612,13,"MB, G4"
SAMPLE 613,1,"MB, SHH CHL AD"
SAMPLE 614,9,ETMR
SAMPLE 615,13,"MB, G3"
SAMPLE 616,13,"MB, G4"
SAMPLE 617,13,"MB, G3"
SAMPLE 618,3,"GBM, RTK II"
SAMPLE 619,3,"GBM, RTK II"
SAMPLE 620,3,"GBM, RTK I"
SAMPLE 621,3,"GBM, RTK II"
SAMPLE 622,3,"GBM, RTK I"
SAMPLE 623,3,"GBM, RTK II"
SAMPLE 624,3,"GBM, RTK II"
SAMPLE 625,3,"GBM, RTK I"
SAMPLE 626,3,"GBM, RTK II"
SAMPLE 627,3,"GBM, RTK I"
SAMPLE 628,3,"GBM, RTK II"
SAMPLE 629,3,"GBM, RTK II"
SAMPLE 630,3,"GBM, RTK I"
SAMPLE 631,3,"GBM, RTK II"
SAMPLE 632,3,"GBM, RTK II"
SAMPLE 633,3,"GBM, RTK II"
SAMPLE 634,3,"GBM, RTK I"
SAMPLE 635,3,"GBM, RTK II"
SAMPLE 636,14,"GBM, MID"
SAMPLE 637,14,"DMG, K27"
SAMPLE 638,4,"LGG, PA PF"
SAMPLE 639,4,"LGG, PA PF"
SAMPLE 640,4,"LGG, PA PF"
SAMPLE 641,4,"LGG, PA MID"
SAMPLE 642,13,"MB, SHH CHL AD"
SAMPLE 643,2,"ATRT, SHH"
SAMPLE 644,11,"EPN, RELA"
SAMPLE 645,9,ETMR
SAMPLE 646,10,"CNS NB, FOXR2"
SAMPLE 647,11,"HGNET, BCOR"
SAMPLE 648,10,"CNS NB, FOXR2"
SAMPLE 649,4,HMB
SAMPLE 650,4,"EPN, MPE"
SAMPLE 651,4,SCHW
SAMPLE 652,4,SCHW
SAMPLE 653,4,"LGG, SEGA"
SAMPLE 654,12,O IDH
SAMPLE 655,4,SCHW
SAMPLE 656,4,"LGG, PA/GG ST"
SAMPLE 657,4,"LGG, PA PF"
SAMPLE 658,4,"CONTR, REACT"
SAMPLE 659,4,"CONTR, REACT"
SAMPLE 660,4,"CONTR, REACT"
SAMPLE 661,4,"CONTR, REACT"
